"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"912"	"Prevotella sp. 885"	"Diagnosis"	"CD"	"diagnosisCD"	4.45525146837284	-0.0688618225536278	2.64738799372827	0.0930434169916154	0.174866539139915	0.000125494848308711	0.000446203905097639	NA	"abundance"	1527	69
"913"	"Ruthenibacterium lactatiformans"	"Diagnosis"	"CD"	"diagnosisCD"	-0.54677702193729	-0.0688618225536278	0.23453489993966	0.0943240128222465	0.176880154563023	0.0943240128222465	0.139504422325339	NA	"abundance"	1527	797
"914"	"GGB3267 SGB4317"	"Read depth"	"Read depth"	"reads"	0.216345044807307	-0.341953238969257	0.326858531501401	0.0954690165496033	0.178684347066978	0.156718782921578	0.215769276095418	NA	"abundance"	1527	54
"915"	"Lachnospira pectinoschiza"	"Age"	"Age"	"age"	0.0923471296850496	0	0.0553888172389675	0.0954642588049158	0.178684347066978	0.18181509290066	0.244893798600889	NA	"prevalence"	1527	500
"916"	"Dysosmobacter sp. BX15"	"Abx"	"Used"	"antibioticsYes"	-0.675215403190566	-0.0726333204687373	0.31913291459069	0.0965437739607125	0.180522999348547	0.0965437739607125	0.142388582824738	NA	"abundance"	1527	621
"917"	"Clostridium sp. AF20 17LB"	"Age"	"Age"	"age"	-0.0918190444337743	0	0.0553047302141271	0.0968664746963263	0.180953242405948	0.184349835472559	0.247676114833361	NA	"prevalence"	1527	654
"918"	"Parasutterella SGB9260"	"Age"	"Age"	"age"	0.255990969062334	-0.0108468315301573	0.122638005028594	0.097058033435117	0.18113791531253	0.149373740377679	0.206464227537735	NA	"abundance"	1527	269
"919"	"Vescimonas coprocola"	"Age"	"Age"	"age"	-0.245231801177408	-0.0108468315301573	0.0961831345638314	0.0976015182899959	0.18180492539433	0.0976015182899959	0.143747842837149	NA	"abundance"	1527	599
"920"	"GGB1543 SGB2126"	"Abx"	"Used"	"antibioticsYes"	0.817463997125195	0	0.493452288388466	0.0975958887283498	0.18180492539433	0.185666819960023	0.249128541140768	NA	"prevalence"	1527	42
"921"	"GGB51647 SGB4348"	"Read depth"	"Read depth"	"reads"	-0.166011189040671	0	0.100400340259149	0.0982307129215708	0.182802679094047	0.186812152882062	0.250347250562763	NA	"prevalence"	1527	123
"922"	"Collinsella aerofaciens"	"Age"	"Age"	"age"	0.0882297880088028	0	0.0534664911448433	0.0989043912979643	0.183881237484512	0.188026703977908	0.251336961266672	NA	"prevalence"	1527	698
"923"	"Blautia wexlerae"	"Diagnosis"	"CD"	"diagnosisCD"	-0.37761070125131	0	0.229185095398675	0.0994299978321128	0.184507327411157	0.0141981442085432	0.0278167723269418	NA	"prevalence"	1527	1302
"924"	"Parasutterella SGB9260"	"Abx"	"Used"	"antibioticsYes"	-0.470688519890384	0	0.286029331553269	0.0998471101631394	0.185105553376446	0.148515439441023	0.205546925360052	NA	"prevalence"	1527	269
"925"	"Clostridium sp. AF36 4"	"Diagnosis"	"CD"	"diagnosisCD"	0.368566062043631	-0.0688618225536278	0.211261708659062	0.100240640243879	0.185658967807146	2.7167126133903e-08	2.18217966439092e-07	NA	"abundance"	1527	568
"926"	"Clostridium leptum"	"Age"	"Age"	"age"	0.0905921870612108	0	0.0552419620271482	0.101022597245891	0.186930071040219	0.0120483125776749	0.0239604860301783	NA	"prevalence"	1527	652
"927"	"Roseburia intestinalis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.56304706033183	0.403594029086773	0.669287692873332	0.101560217299104	0.187597147103419	0.192805956860367	0.257110309841571	NA	"abundance"	1527	842
"928"	"GGB3478 SGB14857"	"Diagnosis"	"CD"	"diagnosisCD"	1.28454556237899	0	0.784567917773846	0.101575118544226	0.187597147103419	0.192832732381178	0.257110309841571	NA	"prevalence"	1527	16
"929"	"Clostridium sp. AT4"	"Abx"	"Used"	"antibioticsYes"	0.613482382047068	-0.0726333204687373	0.383014777902083	0.102293705288815	0.188212711990908	0.194123408435914	0.258504816277838	NA	"abundance"	1527	528
"930"	"GGB3746 SGB5089"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	0.866550463218468	-0.218203238148827	0.614633619800394	0.102254727054919	0.188212711990908	0.00011601008727036	0.000415276786974577	NA	"abundance"	1527	651
"931"	"GGB51647 SGB4348"	"Read depth"	"Read depth"	"reads"	0.20219181584685	-0.341953238969257	0.329027251905227	0.102036524794446	0.188212711990908	0.186812152882062	0.250347250562763	NA	"abundance"	1527	123
"932"	"Alistipes onderdonkii"	"Age"	"Age"	"age"	0.0916075484486158	0	0.0561851922264003	0.103004914253	0.189342993838535	0.195399816145732	0.259549944465275	NA	"prevalence"	1527	831
"933"	"GGB1266 SGB1699"	"Read depth"	"Read depth"	"reads"	0.29565496758566	-0.341953238969257	0.38612795535247	0.103423085251015	0.189932996786169	0.196149835939191	0.259892379864224	NA	"abundance"	1527	84
"934"	"Bifidobacterium adolescentis"	"Diagnosis"	"UC"	"diagnosisUC"	-0.24165628758823	0	0.148879950540917	0.104554765361341	0.191830996728694	0.00701373128824442	0.0153026864470787	NA	"prevalence"	1527	427
"935"	"Eisenbergiella massiliensis"	"Read depth"	"Read depth"	"reads"	-0.599586583053515	-0.341953238969257	0.156007553795133	0.104859996572189	0.192210537806807	0.00685626398716313	0.0149900926924312	NA	"abundance"	1527	417
"936"	"Phocaeicola vulgatus"	"Abx"	"Used"	"antibioticsYes"	0.539028915472431	-0.0726333204687373	0.338832675744111	0.106428417720589	0.194902650633581	0.20152982734267	0.266019372092325	NA	"abundance"	1527	1288
"937"	"Bifidobacterium adolescentis"	"Diagnosis"	"CD"	"diagnosisCD"	-0.684591783972607	-0.0688618225536278	0.346316615702265	0.107320916804171	0.196353063141713	2.24820638448719e-14	5.79050229760602e-13	NA	"abundance"	1527	427
"938"	"Eisenbergiella massiliensis"	"Abx"	"Used"	"antibioticsYes"	0.311797301621942	0	0.193693782987977	0.107453871621102	0.196412408931368	0.203361408715839	0.267434181324938	NA	"prevalence"	1527	417
"939"	"Ruminococcus bromii"	"Abx"	"Used"	"antibioticsYes"	-0.358914474753565	0	0.224058973345927	0.109183247081213	0.199386976445504	0.176088492183512	0.238091482388973	NA	"prevalence"	1527	429
"940"	"Clostridium sp. AM49 4BH"	"Diagnosis"	"CD"	"diagnosisCD"	-0.680169488309328	-0.0688618225536278	0.344455646452312	0.109579786295171	0.199924278637501	2.22201342060633e-28	5.86611543040072e-26	NA	"abundance"	1527	344
"941"	"Lachnospira eligens"	"Abx"	"Used"	"antibioticsYes"	0.506969379493937	-0.0726333204687373	0.320094946403026	0.110350214994447	0.201142089644728	0.208523260039573	0.273201690572939	NA	"abundance"	1527	929
"942"	"GGB1266 SGB1699"	"Diagnosis"	"UC"	"diagnosisUC"	-1.46689273775955	0.0724275054371195	0.932093629739128	0.110729896952409	0.201646056519112	0.000523613426981026	0.00155756557434356	NA	"abundance"	1527	84
"943"	"Ruminococcus gnavus"	"Diagnosis"	"UC"	"diagnosisUC"	-0.495058744242145	0.0724275054371195	0.288790819807701	0.111799401831761	0.203404125865233	0.00387153095321227	0.00908519263687146	NA	"abundance"	1527	767
"944"	"Escherichia coli"	"Read depth"	"Read depth"	"reads"	-0.538995969858284	-0.341953238969257	0.120122440957295	0.111951975731972	0.203492242400254	0.111951975731972	0.163514918911428	NA	"abundance"	1527	707
"945"	"Ruminococcus bicirculans"	"Age"	"Age"	"age"	0.214499066869854	-0.0108468315301573	0.0962917396422705	0.112401315144678	0.203929591265275	0.112401315144678	0.163944459658536	NA	"abundance"	1527	678
"946"	"Faecalibacterium SGB15346"	"Diagnosis"	"CD"	"diagnosisCD"	0.212809213606028	0	0.134022975117717	0.112318857001669	0.203929591265275	0.114047058166712	0.165886630060672	NA	"prevalence"	1527	743
"947"	"Enterocloster bolteae"	"Age"	"Age"	"age"	-0.0852020079205708	0	0.0537759732335606	0.113105445757315	0.205016735630607	0.000366541633959128	0.00116938962374876	NA	"prevalence"	1527	866
"948"	"Barnesiella intestinihominis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.43621143999805	0.403594029086773	1.78302142578647	0.114183459015268	0.206711823758898	0.0281934844504683	0.0494232055172223	NA	"abundance"	1527	431
"949"	"Klebsiella pneumoniae"	"Age"	"Age"	"age"	0.39734267407056	-0.0108468315301573	0.23478676420992	0.114252185086801	0.206711823758898	0.215450808376494	0.280884016846392	NA	"abundance"	1527	119
"950"	"Paraprevotella clara"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.54178920034555	0	0.981896805967904	0.116365075649512	0.210145432365199	0.219189320468107	0.284703471604331	NA	"prevalence"	1527	178
"951"	"Prevotella copri clade C"	"Read depth"	"Read depth"	"reads"	0.334280957266891	0	0.21347220123729	0.117366724149595	0.211758614024292	0.117366724149595	0.170012703294886	NA	"prevalence"	1527	16
"952"	"Bifidobacterium longum"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	0.511180550622665	-0.218203238148827	0.389379089320729	0.118592737241026	0.213773255137421	0.223121237155733	0.289099418940434	NA	"abundance"	1527	843
"953"	"GGB58485 SGB80143"	"Diagnosis"	"UC"	"diagnosisUC"	-1.76400582000619	0	1.13174989962693	0.119078438680076	0.214450939337206	0.119078438680076	0.172183943830488	NA	"prevalence"	1527	14
"954"	"Phascolarctobacterium succinatutens"	"Diagnosis"	"CD"	"diagnosisCD"	-0.728317054109487	-0.0688618225536278	0.38745709629027	0.1192897182362	0.214633618262923	1.90584851419251e-06	1.07624386683812e-05	NA	"abundance"	1527	125
"955"	"Hungatella hathewayi"	"Diagnosis"	"UC"	"diagnosisUC"	0.24508703939299	0	0.157484682821401	0.119646389302096	0.215077318027872	0.0540459254802665	0.0867363180959899	NA	"prevalence"	1527	451
"956"	"Candidatus Cibionibacter quicibialis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.88785933051145	0.403594029086773	0.805458487197605	0.121659017742087	0.217893419494076	0.000593113722515665	0.00173498086143086	NA	"abundance"	1527	933
"957"	"Firmicutes bacterium AF16 15"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.16087429241672	0.403594029086773	0.986486274997627	0.121502600745468	0.217893419494076	0.00707014648308301	0.0153307488421677	NA	"abundance"	1527	827
"958"	"GGB3304 SGB4367"	"Age"	"Age"	"age"	0.336634000236535	-0.0108468315301573	0.198517740723453	0.121602682804468	0.217893419494076	0.0732607231314797	0.111428205308455	NA	"abundance"	1527	155
"959"	"Lachnospira sp. NSJ 43"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.10881586432911	-0.218203238148827	1.84965553300198	0.121459350102624	0.217893419494076	0.0116596885979017	0.0233636264883951	NA	"abundance"	1527	296
"960"	"Clostridium sp. AF20 17LB"	"Read depth"	"Read depth"	"reads"	-0.176766397251917	-0.341953238969257	0.102505157960442	0.122350054385856	0.218930408672126	6.35577818484257e-09	5.59308480266146e-08	NA	"abundance"	1527	654
"961"	"Alistipes dispar"	"Diagnosis"	"UC"	"diagnosisUC"	-1.119035368256	0.0724275054371195	0.738635159250278	0.123870388939417	0.221315796832206	0.0036370046332325	0.00863073459032252	NA	"abundance"	1527	83
"962"	"Veillonella dispar"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.52166554061972	0.403594029086773	0.688395724390293	0.123909663118953	0.221315796832206	0.123909663118953	0.177995812311648	NA	"abundance"	1527	526
"963"	"Coprococcus comes"	"Age"	"Age"	"age"	-0.212904086897067	-0.0108468315301573	0.0815771863303486	0.124982079627038	0.223027382275098	0.124982079627038	0.179078800659637	NA	"abundance"	1527	759
"964"	"Bacteroides faecis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.76730568435311	0	0.500314162610332	0.125116337080671	0.223063250598203	0.0104381212097838	0.0212382581840688	NA	"prevalence"	1527	434
"965"	"Bacteroides faecis"	"Diagnosis"	"UC"	"diagnosisUC"	-0.251759762269781	0	0.164251237705899	0.12533194559829	0.223243957793125	0.234955794609126	0.303688273081074	NA	"prevalence"	1527	434
"966"	"Prevotella SGB48271"	"Age"	"Age"	"age"	-0.692494440981667	0	0.453559625478749	0.126810968342419	0.225672706868021	0.126810968342419	0.181207554221373	NA	"prevalence"	1527	6
"967"	"Parabacteroides merdae"	"Diagnosis"	"CD"	"diagnosisCD"	-0.448179609668307	-0.0688618225536278	0.188632319258705	0.127616001362644	0.226898695780352	0.127616001362644	0.182111483025611	NA	"abundance"	1527	826
"968"	"Bacteroides ovatus"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.58258684577468	0.403594029086773	0.744963041363744	0.130248556546517	0.231368799538085	9.0039462027077e-15	2.37704179751483e-13	NA	"abundance"	1527	1176
"969"	"Gemmiger formicilis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.814870639070384	0	0.538888019321459	0.130499898300464	0.231394556514616	0.243969573144496	0.314953385379692	NA	"prevalence"	1527	472
"970"	"Dorea longicatena"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	0.463959500221153	-0.218203238148827	0.375439390294314	0.131938689194546	0.233733634348271	3.60396617067098e-11	5.1429571300386e-10	NA	"abundance"	1527	1020
"971"	"GGB33512 SGB15201"	"Read depth"	"Read depth"	"reads"	0.14374511013933	0	0.095465663549355	0.132137584680112	0.233873949696503	0.132137584680112	0.187778282749594	NA	"prevalence"	1527	121
"972"	"Enterocloster bolteae"	"Read depth"	"Read depth"	"reads"	-0.494087412363996	-0.341953238969257	0.0967816967559555	0.133181925405458	0.235509033703407	5.96384546270019e-08	4.40407049553245e-07	NA	"abundance"	1527	866
"973"	"GGB9480 SGB14874"	"Diagnosis"	"CD"	"diagnosisCD"	0.226306962351927	0	0.150840380003783	0.133534752257649	0.235919444766226	0.249237974454786	0.32018893068644	NA	"prevalence"	1527	332
"974"	"Bilophila wadsworthia"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.18520172341742	-0.218203238148827	0.596304427021155	0.133658232226542	0.235924287055702	4.72335849294945e-13	8.90690458670468e-12	NA	"abundance"	1527	764
"975"	"Phascolarctobacterium succinatutens"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.47136293832826	0	0.98247583177718	0.134235319443055	0.236729074180261	0.250451517900131	0.321356990161043	NA	"prevalence"	1527	125
"976"	"Clostridium leptum"	"Abx"	"Used"	"antibioticsYes"	0.571302592008416	-0.0726333204687373	0.397637217429834	0.136176205238562	0.239935351700766	0.253808451603948	0.325269083608944	NA	"abundance"	1527	652
"977"	"Alistipes finegoldii"	"Abx"	"Used"	"antibioticsYes"	-0.29415650249837	0	0.197592624540179	0.136565901911717	0.240405200302248	0.254481558258473	0.325736394570846	NA	"prevalence"	1527	639
"978"	"GGB3277 SGB4327"	"Read depth"	"Read depth"	"reads"	0.126791884393599	0	0.0852448928408378	0.136913436676065	0.240800049743503	0.0649161053426952	0.101108270268269	NA	"prevalence"	1527	152
"979"	"Phascolarctobacterium faecium"	"Diagnosis"	"UC"	"diagnosisUC"	-0.437475328330153	0.0724275054371195	0.272955208433647	0.137041695511783	0.240808878624123	0.255302964714822	0.326392167964712	NA	"abundance"	1527	503
"980"	"Clostridium sp. 1001270H 150608 G6"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.08195990636648	-0.218203238148827	1.9090874506388	0.138031240965706	0.241557234507552	0.166645436458657	0.226192263368049	NA	"abundance"	1527	141
"981"	"GGB3277 SGB4327"	"Diagnosis"	"CD"	"diagnosisCD"	0.778246339220835	-0.0688618225536278	0.54629146558747	0.137950964213565	0.241557234507552	0.256871459899677	0.327504853855986	NA	"abundance"	1527	152
"982"	"Prevotella copri clade A"	"Age"	"Age"	"age"	-0.550571987209719	-0.0108468315301573	0.348373756824501	0.137849477883634	0.241557234507552	8.08112331479256e-07	4.90440587380514e-06	NA	"abundance"	1527	289
"983"	"Enterocloster clostridioformis"	"Abx"	"Used"	"antibioticsYes"	-0.334800178593602	0	0.22576517837602	0.138085686256364	0.241557234507552	0.257103715763837	0.327504853855986	NA	"prevalence"	1527	312
"984"	"Coprococcus eutactus"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.45859157897651	0	0.984043448679561	0.138275631150356	0.241673151402321	0.257431112130682	0.327526812542169	NA	"prevalence"	1527	177
"985"	"Bacteroides finegoldii"	"Age"	"Age"	"age"	0.306807105530081	-0.0108468315301573	0.18842886323612	0.139664951657173	0.243233804466472	4.02090701505688e-05	0.000169264904489448	NA	"abundance"	1527	333
"986"	"Eubacterium ventriosum"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.11591810452872	-0.218203238148827	1.26104956832653	0.139666493659868	0.243233804466472	5.25061863688878e-06	2.71796729438948e-05	NA	"abundance"	1527	520
"987"	"GGB58485 SGB80143"	"Read depth"	"Read depth"	"reads"	0.335628448845433	0	0.22722772958173	0.139660193211215	0.243233804466472	0.139660193211215	0.196582393506884	NA	"prevalence"	1527	14
"988"	"Lachnospira sp. NSJ 43"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.896597520030698	0	0.608302054519788	0.140499167678952	0.24446604955002	0.261258319239426	0.331996131307863	NA	"prevalence"	1527	296
"989"	"GGB3278 SGB4328"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-0.762308525009436	0	0.518940049931521	0.141840320184464	0.246360876124837	0.263561963938896	0.334119368450749	NA	"prevalence"	1527	179
"990"	"Odoribacter splanchnicus"	"Diagnosis"	"CD"	"diagnosisCD"	-0.199937604749092	0	0.136084315681673	0.141773512915748	0.246360876124837	0.0590767046245016	0.0933907186878349	NA	"prevalence"	1527	757
"991"	"Clostridium sp. AM22 11AC"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.29764736129826	-0.218203238148827	0.698146955310045	0.143003067221197	0.247939656921224	1.04458801944984e-09	1.07095626071751e-08	NA	"abundance"	1527	730
"992"	"Lachnospira sp. NSJ 43"	"Abx"	"Used"	"antibioticsYes"	1.04285074229856	-0.0726333204687373	0.740846771503955	0.142882242680194	0.247939656921224	0.1640214899854	0.223763625716482	NA	"abundance"	1527	296
"993"	"Parasutterella excrementihominis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.86833466534793	0.403594029086773	0.975715115864427	0.143589893781014	0.248736394014275	1.9473394617589e-05	8.86375203283362e-05	NA	"abundance"	1527	699
"994"	"GGB3278 SGB4328"	"Diagnosis"	"CD"	"diagnosisCD"	-0.827062645847913	-0.0688618225536278	0.492913377399413	0.144260826596905	0.249677285359037	6.31877105946789e-06	3.22348900425029e-05	NA	"abundance"	1527	179
"995"	"Prevotella stercorea"	"Abx"	"Used"	"antibioticsYes"	-2.48905783795671	0	1.7061830836673	0.144607583906042	0.250055945975581	0.144607583906042	0.201458586549842	NA	"prevalence"	1527	40
"996"	"GGB16040 SGB9347"	"Abx"	"Used"	"antibioticsYes"	-0.612898093400523	0	0.420259558060469	0.144735857067442	0.250056467471072	0.268523245813837	0.33918725787011	NA	"prevalence"	1527	114
"997"	"Enterocloster clostridioformis"	"Abx"	"Used"	"antibioticsYes"	0.7471936557167	-0.0726333204687373	0.53690888792795	0.145426117462321	0.251027061414642	0.257103715763837	0.327504853855986	NA	"abundance"	1527	312
"998"	"GGB1266 SGB1699"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.43047734949237	0	0.982992122476958	0.145606239243858	0.251116144291702	0.270011301580976	0.340659419915783	NA	"prevalence"	1527	84
"999"	"GGB781 SGB1024"	"Abx"	"Used"	"antibioticsYes"	-2.49080312673698	0	1.71353973013418	0.146056949567468	0.251228238956719	0.146056949567468	0.203209668963434	NA	"prevalence"	1527	18
"1000"	"Dialister invisus"	"Age"	"Age"	"age"	0.192488966703586	-0.0108468315301573	0.0943574267907342	0.146749577876948	0.252197603493013	4.47353626766817e-13	8.58918963392289e-12	NA	"abundance"	1527	726
"1001"	"Phocaeicola dorei"	"Diagnosis"	"CD"	"diagnosisCD"	-0.805087757871283	-0.0688618225536278	0.482460636901756	0.147365108510897	0.252870675083843	0.273013741815365	0.344036409733921	NA	"abundance"	1527	769
"1002"	"Phocaeicola vulgatus"	"Read depth"	"Read depth"	"reads"	-0.192849082528909	-0.341953238969257	0.0985466170099741	0.147400050624615	0.252870675083843	0.00183909067057018	0.00469101388435291	NA	"abundance"	1527	1288
"1003"	"Faecalibacterium SGB15315"	"Diagnosis"	"UC"	"diagnosisUC"	0.621291661865171	0.0724275054371195	0.318284292529831	0.148700002898104	0.254877022511312	1.49640689854959e-05	7.05448966459094e-05	NA	"abundance"	1527	619
"1004"	"GGB1266 SGB1699"	"Age"	"Age"	"age"	-0.393823303719003	-0.0108468315301573	0.244499997563054	0.151782894937624	0.259933196063206	0.280527742679603	0.353083785780287	NA	"abundance"	1527	84
"1005"	"Fusicatenibacter saccharivorans"	"Read depth"	"Read depth"	"reads"	-0.451056144201669	-0.341953238969257	0.0700736418895976	0.152371296472668	0.260712358412953	2.07043138005374e-07	1.39259588365398e-06	NA	"abundance"	1527	1119
"1006"	"Faecalibacterium SGB15315"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.42464849930175	-0.218203238148827	1.52709062310484	0.152627898494992	0.260922934085053	3.73477687508988e-07	2.37585806029814e-06	NA	"abundance"	1527	619
"1007"	"GGB9453 SGB14844"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.7093446336748	0.403594029086773	0.881104094507143	0.153100734199636	0.261502477820008	0.282761633586805	0.355471767937697	NA	"abundance"	1527	222
"1008"	"Blautia obeum"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	0.573291069853147	-0.218203238148827	0.500006263084392	0.154892266149873	0.264331430617338	2.33418139101164e-10	2.83321327460723e-09	NA	"abundance"	1527	899
"1009"	"Prevotella copri clade E"	"Abx"	"Used"	"antibioticsYes"	-2.42309349970723	0	1.706351115086	0.15559489964622	0.265141767505507	0.15559489964622	0.214501584890873	NA	"prevalence"	1527	38
"1010"	"Veillonella parvula"	"Read depth"	"Read depth"	"reads"	0.0796438663850514	0	0.0560914096197067	0.155638488909322	0.265141767505507	5.45583196019684e-05	0.000216592426690521	NA	"prevalence"	1527	547
"1011"	"Roseburia sp. AF02 12"	"Diagnosis"	"CD"	"diagnosisCD"	0.518683148738687	-0.0688618225536278	0.382241630301125	0.155929492922892	0.265406122971543	4.87130918614863e-19	2.85783472254053e-17	NA	"abundance"	1527	363
"1012"	"GGB1266 SGB1699"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.49982392192917	-0.218203238148827	1.58024867624866	0.156113183512248	0.265487520089584	0.287855040958167	0.361444617421907	NA	"abundance"	1527	84
"1013"	"Oscillibacter sp. ER4"	"Diagnosis"	"CD"	"diagnosisCD"	0.338768044194212	-0.0688618225536278	0.24014901927934	0.157948634758929	0.268142165350952	0.0321228400761392	0.0557006882108424	NA	"abundance"	1527	458
"1014"	"Prevotella copri clade C"	"Diagnosis"	"UC"	"diagnosisUC"	1.63733070027603	0	1.15954325123305	0.157935835552617	0.268142165350952	0.157935835552617	0.216597717329304	NA	"prevalence"	1527	16
"1015"	"GGB3277 SGB4327"	"Abx"	"Used"	"antibioticsYes"	-0.500912776605387	0	0.355148102452603	0.158411723224594	0.268694884705604	0.291729172394202	0.365874116446886	NA	"prevalence"	1527	152
"1016"	"Clostridiaceae bacterium"	"Diagnosis"	"UC"	"diagnosisUC"	0.455669979239855	0.0724275054371195	0.174810251568962	0.159969760050966	0.271102264648384	4.15655323953897e-06	2.17293080245205e-05	NA	"abundance"	1527	1109
"1017"	"Bilophila wadsworthia"	"Diagnosis"	"CD"	"diagnosisCD"	-0.193399471766797	0	0.137964413933673	0.160972908010258	0.272565911830194	0.296033538907236	0.369954339746795	NA	"prevalence"	1527	764
"1018"	"Klebsiella pneumoniae"	"Read depth"	"Read depth"	"reads"	-0.74851904671435	-0.341953238969257	0.287107784107061	0.161201103455782	0.272715979352898	0.296416411156202	0.369994952932564	NA	"abundance"	1527	119
"1019"	"Phocaeicola coprocola"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-1.37431273804831	0	0.983508277732102	0.162306071386082	0.274347805785816	0.298268881963379	0.371867696993304	NA	"prevalence"	1527	101
"1020"	"Parabacteroides distasonis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.5764643652386	0.403594029086773	0.666553756376433	0.162782764768037	0.274915749660107	1.08524148909607e-12	1.97588795256112e-11	NA	"abundance"	1527	1140
"1021"	"Bacteroides stercoris"	"Read depth"	"Read depth"	"reads"	-0.187230087409748	-0.341953238969257	0.10685859308759	0.163028965983026	0.275093781978267	0.299479488216557	0.372936721175335	NA	"abundance"	1527	826
"1022"	"Phascolarctobacterium succinatutens"	"Diagnosis"	"UC"	"diagnosisUC"	-0.307443466732939	0	0.22053374427979	0.163291004722282	0.275298208134029	0.299918057221352	0.373042954565074	NA	"prevalence"	1527	125
"1023"	"Clostridium leptum"	"Abx"	"Used"	"antibioticsYes"	-0.281353902868675	0	0.202036402586529	0.163743765281951	0.27582354944908	0.253808451603948	0.325269083608944	NA	"prevalence"	1527	652
"1024"	"Enterocloster bolteae"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	1.25322436878033	0.403594029086773	0.565139892080923	0.163946936635076	0.275927919194607	0.301015275238126	0.373855824270347	NA	"abundance"	1527	866
"1025"	"Phocaeicola plebeius"	"Abx"	"Used"	"antibioticsYes"	-1.18352028342469	-0.0726333204687373	0.777239050492611	0.165035695842034	0.277282673839496	0.302834610782003	0.375344306321356	NA	"abundance"	1527	127
"1026"	"Lactobacillus acidophilus"	"Age"	"Age"	"age"	0.258042704401982	0	0.185859245621743	0.165022272089491	0.277282673839496	0.165022272089491	0.224566390884668	NA	"prevalence"	1527	26
"1027"	"Clostridium leptum"	"Read depth"	"Read depth"	"reads"	-0.499771543844944	-0.341953238969257	0.110688439320253	0.16817215427852	0.282309612938339	5.78323752675682e-09	5.1320158220632e-08	NA	"abundance"	1527	652
"1028"	"Bacteroides eggerthii"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-4.78874947995551	-0.218203238148827	3.30916195212772	0.168414905619155	0.282379717077865	0.000375160836618471	0.00118722407186406	NA	"abundance"	1527	409
"1029"	"Fusicatenibacter saccharivorans"	"Diagnosis"	"CD"	"diagnosisCD"	-0.25346885258294	0	0.184069217556627	0.168502942739401	0.282379717077865	0.164220463949123	0.223763625716482	NA	"prevalence"	1527	1119
"1030"	"Bacteroides mediterraneensis"	"Read depth"	"Read depth"	"reads"	0.323013240858083	0	0.234697548348837	0.168730084838679	0.282518068358851	0.168730084838679	0.228727817188248	NA	"prevalence"	1527	13
"1031"	"Alistipes onderdonkii"	"Read depth"	"Read depth"	"reads"	-0.193158234612472	-0.341953238969257	0.104050452499461	0.169075290137885	0.282720333251543	0.12111235833756	0.174481105599541	NA	"abundance"	1527	831
"1032"	"Dorea longicatena"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-0.416588321016059	0.403594029086773	0.552848767256205	0.169284948773954	0.282720333251543	0.000794635924916801	0.00224969312791459	NA	"abundance"	1527	1020
"1033"	"Bacteroides caccae"	"Diagnosis"	"CD"	"diagnosisCD"	-0.197900001004212	0	0.143958991931641	0.169225387328974	0.282720333251543	0.309813542941307	0.38309496644733	NA	"prevalence"	1527	958
